Date,Price
"Dec 06, 2018",1310.2
"Dec 07, 2018",1319.5
"Dec 10, 2018",1314.8
"Dec 11, 2018",1312.9
"Dec 12, 2018",1315.8
"Dec 13, 2018",1313.2
"Dec 14, 2018",1307
"Dec 17, 2018",1317.4
"Dec 18, 2018",1318.5
"Dec 19, 2018",1321.3
"Dec 20, 2018",1333.1
"Dec 21, 2018",1323.1
"Dec 24, 2018",1337
"Dec 25, 2018",1270.75
"Dec 26, 2018",1338.3
"Dec 27, 2018",1346.5
"Dec 28, 2018",1348.3
"Dec 31, 2018",1347.1
"Jan 01, 2019",1283.35
"Jan 02, 2019",1349.5
"Jan 03, 2019",1359.8
"Jan 04, 2019",1351
"Jan 07, 2019",1355.2
"Jan 08, 2019",1351.1
"Jan 09, 2019",1357.3
"Jan 10, 2019",1353
"Jan 11, 2019",1355.4
"Jan 14, 2019",1357.2
"Jan 15, 2019",1353.7
"Jan 16, 2019",1359.3
"Jan 17, 2019",1357.9
"Jan 18, 2019",1348.1
"Jan 20, 2019",1282.05
"Jan 21, 2019",1279.05
"Jan 22, 2019",1348.4
"Jan 23, 2019",1349.3
"Jan 24, 2019",1344.9
"Jan 25, 2019",1364
"Jan 28, 2019",1369.8
"Jan 29, 2019",1375.6
"Jan 30, 2019",1375.9
"Jan 31, 2019",1384
"Feb 01, 2019",1381.1
"Feb 04, 2019",1378.3
"Feb 05, 2019",1378.6
"Feb 06, 2019",1373.8
"Feb 07, 2019",1373.6
"Feb 08, 2019",1377.8
"Feb 11, 2019",1371.2
"Feb 12, 2019",1373.2
"Feb 13, 2019",1374.6
"Feb 14, 2019",1373.2
"Feb 15, 2019",1381.2
"Feb 17, 2019",1324.25
"Feb 18, 2019",1329.55
"Feb 19, 2019",1403.9
"Feb 20, 2019",1406.7
"Feb 21, 2019",1387.2
"Feb 22, 2019",1392.5
"Feb 25, 2019",1389
"Feb 26, 2019",1387.9
"Feb 27, 2019",1380.5
"Feb 28, 2019",1375.3
"Mar 01, 2019",1358.3
"Mar 04, 2019",1346.3
"Mar 05, 2019",1343.5
"Mar 06, 2019",1346.5
"Mar 07, 2019",1344.9
"Mar 08, 2019",1358.5
"Mar 11, 2019",1350
"Mar 12, 2019",1356.6
"Mar 13, 2019",1368.1
"Mar 14, 2019",1352.9
"Mar 15, 2019",1360.6
"Mar 18, 2019",1359.4
"Mar 19, 2019",1364.7
"Mar 20, 2019",1359.5
"Mar 21, 2019",1364.5
"Mar 22, 2019",1369.3
"Mar 25, 2019",1378.1
"Mar 26, 2019",1369.3
"Mar 27, 2019",1363.8
"Mar 28, 2019",1342.4
"Mar 29, 2019",1346
"Apr 01, 2019",1342.7
"Apr 02, 2019",1343.9
"Apr 03, 2019",1344
"Apr 04, 2019",1343.5
"Apr 05, 2019",1345.2
"Apr 08, 2019",1351.9
"Apr 09, 2019",1358.4
"Apr 10, 2019",1363.9
"Apr 11, 2019",1343.4
"Apr 12, 2019",1346.3
"Apr 15, 2019",1342.4
"Apr 16, 2019",1328.1
"Apr 17, 2019",1327.6
"Apr 18, 2019",1326.9
"Apr 19, 2019",1277.9
"Apr 22, 2019",1328.5
"Apr 23, 2019",1323.8
"Apr 24, 2019",1329.9
"Apr 25, 2019",1330.2
"Apr 26, 2019",1339.2
"Apr 29, 2019",1331.6
"Apr 30, 2019",1335.7
"May 01, 2019",1334.2
"May 02, 2019",1322.2
"May 03, 2019",1331.7
"May 06, 2019",1334
"May 07, 2019",1335.8
"May 08, 2019",1331.4
"May 09, 2019",1335.1
"May 10, 2019",1337.2
"May 13, 2019",1350.2
"May 14, 2019",1343.4
"May 15, 2019",1344.5
"May 16, 2019",1333.1
"May 17, 2019",1322.5
"May 20, 2019",1324.2
"May 21, 2019",1320.1
"May 22, 2019",1321.3
"May 23, 2019",1331.8
"May 24, 2019",1330.1
"May 26, 2019",1284.15
"May 27, 2019",1284.95
"May 28, 2019",1323.3
"May 29, 2019",1326.5
"May 30, 2019",1341.4
"May 31, 2019",1357.5
"Jun 03, 2019",1372.9
"Jun 04, 2019",1373.9
"Jun 05, 2019",1377.6
"Jun 06, 2019",1385.9
"Jun 07, 2019",1389.3
"Jun 10, 2019",1374.3
"Jun 11, 2019",1376.4
"Jun 12, 2019",1381.2
"Jun 13, 2019",1388.1
"Jun 14, 2019",1388.9
"Jun 17, 2019",1387
"Jun 18, 2019",1394.8
"Jun 19, 2019",1391.2
"Jun 20, 2019",1436
"Jun 21, 2019",1439
"Jun 24, 2019",1457
"Jun 25, 2019",1457.4
"Jun 26, 2019",1453.9
"Jun 27, 2019",1450.6
"Jun 28, 2019",1452.9
"Jul 01, 2019",1429.7
"Jul 02, 2019",1448.9
"Jul 03, 2019",1462.1
"Jul 04, 2019",1423.55
"Jul 05, 2019",1442.7
"Jul 08, 2019",1443.4
"Jul 09, 2019",1444.4
"Jul 10, 2019",1456.6
"Jul 11, 2019",1451.4
"Jul 12, 2019",1457
"Jul 15, 2019",1458.4
"Jul 16, 2019",1456.6
"Jul 17, 2019",1469.3
"Jul 18, 2019",1474
"Jul 19, 2019",1472.3
"Jul 22, 2019",1472.8
"Jul 23, 2019",1467.6
"Jul 24, 2019",1469.7
"Jul 25, 2019",1461.2
"Jul 26, 2019",1467.2
"Jul 29, 2019",1468.5
"Jul 30, 2019",1477.3
"Jul 31, 2019",1473.3
"Aug 01, 2019",1468.5
"Aug 02, 2019",1492.3
"Aug 05, 2019",1509.6
"Aug 06, 2019",1516.7
"Aug 07, 2019",1551.6
"Aug 08, 2019",1542
"Aug 09, 2019",1541.5
"Aug 12, 2019",1550
"Aug 13, 2019",1547.7
"Aug 14, 2019",1561
"Aug 15, 2019",1563.7
"Aug 16, 2019",1556.2
"Aug 19, 2019",1544
"Aug 20, 2019",1548
"Aug 21, 2019",1548.2
"Aug 22, 2019",1541.1
"Aug 23, 2019",1570.2
"Aug 26, 2019",1569.8
"Aug 27, 2019",1584.5
"Aug 28, 2019",1581.2
"Aug 29, 2019",1569.9
